epoch,lr-Adam,step,test_auroc,test_f1_score,test_f_beta,test_loss_epoch,test_loss_step,test_mcc,train_f1_score,train_f_beta,train_loss_epoch,train_loss_step,train_mcc,val_auroc,val_f1_score,val_f_beta,val_loss_epoch,val_loss_step,val_mcc
,,92,,,,,,,,,,,,,,,,1.207611083984375,
,,93,,,,,,,,,,,,,,,,0.9556427001953125,
,,94,,,,,,,,,,,,,,,,0.7476043701171875,
,,95,,,,,,,,,,,,,,,,1.016326904296875,
,,96,,,,,,,,,,,,,,,,0.5917816162109375,
,,97,,,,,,,,,,,,,,,,0.893463134765625,
,,98,,,,,,,,,,,,,,,,1.29095458984375,
,,99,,,,,,,,,,,,,,,,1.1356277465820312,
,,100,,,,,,,,,,,,,,,,0.732269287109375,
,,101,,,,,,,,,,,,,,,,0.8531646728515625,
,,102,,,,,,,,,,,,,,,,0.7438812255859375,
,,103,,,,,,,,,,,,,,,,0.3109931945800781,
,,104,,,,,,,,,,,,,,,,0.23574447631835938,
,,105,,,,,,,,,,,,,,,,0.21271514892578125,
,,106,,,,,,,,,,,,,,,,0.4340667724609375,
,,107,,,,,,,,,,,,,,,,0.58758544921875,
,,108,,,,,,,,,,,,,,,,0.36730384826660156,
,,109,,,,,,,,,,,,,,,,0.6241588592529297,
,,110,,,,,,,,,,,,,,,,0.5229921340942383,
,,111,,,,,,,,,,,,,,,,0.1802206039428711,
,,112,,,,,,,,,,,,,,,,0.8053741455078125,
,,113,,,,,,,,,,,,,,,,2.322174072265625,
,,114,,,,,,,,,,,,,,,,1.8506011962890625,
,,115,,,,,,,,,,,,,,,,1.6501922607421875,
,,116,,,,,,,,,,,,,,,,2.152618408203125,
,,117,,,,,,,,,,,,,,,,5.28472900390625,
,,118,,,,,,,,,,,,,,,,4.676422119140625,
,,119,,,,,,,,,,,,,,,,1.3247127532958984,
1,,539,,,,,,,,,,,,0.7208964228630066,0.5044382810592651,0.5044382810592651,1.0725504159927368,,0.2552824914455414
1,,539,,,,,,,0.6524419784545898,0.6524419784545898,0.7313957214355469,,0.490132212638855,,,,,,
,0.0009972636867364524,540,,,,,,,,,,,,,,,,,
2,,549,,,,,,,,,,0.7313928604125977,,,,,,,
2,,559,,,,,,,,,,0.6996607780456543,,,,,,,
2,,569,,,,,,,,,,0.6131302118301392,,,,,,,
2,,579,,,,,,,,,,0.7240049839019775,,,,,,,
2,,589,,,,,,,,,,0.6794719696044922,,,,,,,
2,,599,,,,,,,,,,0.6630668640136719,,,,,,,
2,,609,,,,,,,,,,0.7011234760284424,,,,,,,
2,,619,,,,,,,,,,0.7913036346435547,,,,,,,
2,,629,,,,,,,,,,0.8136677742004395,,,,,,,
2,,639,,,,,,,,,,0.6568338871002197,,,,,,,
2,,649,,,,,,,,,,0.708254873752594,,,,,,,
2,,659,,,,,,,,,,0.7746825218200684,,,,,,,
2,,669,,,,,,,,,,0.8084535598754883,,,,,,,
2,,679,,,,,,,,,,0.5585529804229736,,,,,,,
2,,689,,,,,,,,,,0.7020330429077148,,,,,,,
