epoch,lr-AdamW,p_cd1,p_cd2,p_cd3,step,test_auroc,test_f1_score,test_f_beta,test_loss_epoch,test_loss_step,test_mcc,test_task_loss,train_cd_reg,train_f1_score,train_f_beta,train_loss_epoch,train_loss_step,train_mcc,train_task_loss,val_auroc,val_f1_score,val_f_beta,val_loss_epoch,val_loss_step,val_mcc,val_task_loss
,,,,,61,,,,,,,,,,,,,,,,,,,1.2735337018966675,,
,,,,,62,,,,,,,,,,,,,,,,,,,0.977265477180481,,
,,,,,63,,,,,,,,,,,,,,,,,,,1.2258329391479492,,
,,,,,64,,,,,,,,,,,,,,,,,,,1.011418342590332,,
,,,,,65,,,,,,,,,,,,,,,,,,,0.9711799621582031,,
,,,,,66,,,,,,,,,,,,,,,,,,,1.249541997909546,,
,,,,,67,,,,,,,,,,,,,,,,,,,1.0672446489334106,,
,,,,,68,,,,,,,,,,,,,,,,,,,0.8961243629455566,,
,,,,,69,,,,,,,,,,,,,,,,,,,0.7252624034881592,,
,,,,,70,,,,,,,,,,,,,,,,,,,0.7869892120361328,,
,,,,,71,,,,,,,,,,,,,,,,,,,0.8745148181915283,,
,,,,,72,,,,,,,,,,,,,,,,,,,0.8296746015548706,,
,,,,,73,,,,,,,,,,,,,,,,,,,1.1711204051971436,,
,,,,,74,,,,,,,,,,,,,,,,,,,1.264556884765625,,
,,,,,75,,,,,,,,,,,,,,,,,,,1.344990611076355,,
,,,,,76,,,,,,,,,,,,,,,,,,,24.94196319580078,,
,,,,,77,,,,,,,,,,,,,,,,,,,38.62973403930664,,
,,,,,78,,,,,,,,,,,,,,,,,,,18.233619689941406,,
,,,,,79,,,,,,,,,,,,,,,,,,,11.486456871032715,,
,,,,,80,,,,,,,,,,,,,,,,,,,24.799238204956055,,
,,,,,81,,,,,,,,,,,,,,,,,,,20.520172119140625,,
,,,,,82,,,,,,,,,,,,,,,,,,,45.53718948364258,,
,,,,,83,,,,,,,,,,,,,,,,,,,43.32539367675781,,
,,,,,84,,,,,,,,,,,,,,,,,,,41.0494384765625,,
,,,,,85,,,,,,,,,,,,,,,,,,,25.573169708251953,,
,,,,,86,,,,,,,,,,,,,,,,,,,23.160350799560547,,
,,,,,87,,,,,,,,,,,,,,,,,,,31.063982009887695,,
,,,,,88,,,,,,,,,,,,,,,,,,,3.501448154449463,,
,,,,,89,,,,,,,,,,,,,,,,,,,2.7791528701782227,,
,,,,,90,,,,,,,,,,,,,,,,,,,4.259437561035156,,
,,,,,91,,,,,,,,,,,,,,,,,,,2.6816065311431885,,
,,,,,92,,,,,,,,,,,,,,,,,,,4.32835054397583,,
,,,,,93,,,,,,,,,,,,,,,,,,,3.733339548110962,,
,,,,,94,,,,,,,,,,,,,,,,,,,2.9956650733947754,,
,,,,,95,,,,,,,,,,,,,,,,,,,3.799602746963501,,
,,,,,96,,,,,,,,,,,,,,,,,,,2.507798194885254,,
,,,,,97,,,,,,,,,,,,,,,,,,,3.452660322189331,,
,,,,,98,,,,,,,,,,,,,,,,,,,4.990893363952637,,
,,,,,99,,,,,,,,,,,,,,,,,,,4.247547626495361,,
,,,,,100,,,,,,,,,,,,,,,,,,,3.8545947074890137,,
,,,,,101,,,,,,,,,,,,,,,,,,,3.2756357192993164,,
,,,,,102,,,,,,,,,,,,,,,,,,,3.2355151176452637,,
,,,,,103,,,,,,,,,,,,,,,,,,,2.8039822578430176,,
,,,,,104,,,,,,,,,,,,,,,,,,,2.5438570976257324,,
,,,,,105,,,,,,,,,,,,,,,,,,,2.6680614948272705,,
,,,,,106,,,,,,,,,,,,,,,,,,,3.9205286502838135,,
,,,,,107,,,,,,,,,,,,,,,,,,,6.286258697509766,,
