epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/mcc,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc
3,,,2839,,,,,,,,1.2123829126358032,,,,
3,,,2859,,,,,,,,1.1924760341644287,,,,
3,,,2871,,,,,,,,,0.31823834776878357,0.20672030746936798,8.744468688964844,0.12244704365730286
3,,,2871,,,,,,0.3288258910179138,2.6906330585479736,,,,,
,0.0002,0.0002,2872,,,,,,,,,,,,
4,,,2879,,,,,,,,1.4448890686035156,,,,
4,,,2899,,,,,,,,1.3652764558792114,,,,
4,,,2919,,,,,,,,3.1807968616485596,,,,
4,,,2939,,,,,,,,3.5369269847869873,,,,
4,,,2959,,,,,,,,1.339476466178894,,,,
4,,,2979,,,,,,,,1.3550922870635986,,,,
4,,,2999,,,,,,,,1.4337314367294312,,,,
4,,,3019,,,,,,,,1.1909351348876953,,,,
4,,,3039,,,,,,,,1.576690435409546,,,,
4,,,3059,,,,,,,,2.0978758335113525,,,,
4,,,3079,,,,,,,,4.629647254943848,,,,
4,,,3099,,,,,,,,5.671266078948975,,,,
4,,,3119,,,,,,,,1.333497405052185,,,,
4,,,3139,,,,,,,,3.5091476440429688,,,,
4,,,3159,,,,,,,,1.6181910037994385,,,,
4,,,3179,,,,,,,,1.6669673919677734,,,,
4,,,3199,,,,,,,,2.489065647125244,,,,
4,,,3219,,,,,,,,4.507916450500488,,,,
4,,,3239,,,,,,,,4.172743320465088,,,,
4,,,3259,,,,,,,,1.7931112051010132,,,,
4,,,3279,,,,,,,,2.1422128677368164,,,,
4,,,3299,,,,,,,,3.8298463821411133,,,,
4,,,3319,,,,,,,,1.058139443397522,,,,
4,,,3339,,,,,,,,1.090741753578186,,,,
4,,,3359,,,,,,,,1.4914488792419434,,,,
4,,,3379,,,,,,,,2.3537416458129883,,,,
4,,,3399,,,,,,,,2.4587154388427734,,,,
4,,,3419,,,,,,,,1.402198314666748,,,,
4,,,3439,,,,,,,,3.2549686431884766,,,,
4,,,3459,,,,,,,,3.6824684143066406,,,,
4,,,3479,,,,,,,,1.4107728004455566,,,,
4,,,3499,,,,,,,,3.7119550704956055,,,,
4,,,3519,,,,,,,,1.290513515472412,,,,
4,,,3539,,,,,,,,1.4829272031784058,,,,
4,,,3559,,,,,,,,4.713658332824707,,,,
4,,,3579,,,,,,,,4.040860176086426,,,,
4,,,3589,,,,,,,,,0.3440142869949341,0.23334184288978577,11.626564025878906,0.17030560970306396
4,,,3589,,,,,,0.3358156979084015,2.5114333629608154,,,,,
,0.00025,0.00025,3590,,,,,,,,,,,,
5,,,3599,,,,,,,,3.4712061882019043,,,,
5,,,3619,,,,,,,,4.338781833648682,,,,
5,,,3639,,,,,,,,3.383355140686035,,,,
5,,,3659,,,,,,,,1.9507046937942505,,,,
5,,,3679,,,,,,,,1.3383339643478394,,,,
5,,,3699,,,,,,,,2.070633888244629,,,,
5,,,3719,,,,,,,,4.3998517990112305,,,,
5,,,3739,,,,,,,,1.3192805051803589,,,,
5,,,3759,,,,,,,,1.4069709777832031,,,,
5,,,3779,,,,,,,,3.090658187866211,,,,
5,,,3799,,,,,,,,1.0497370958328247,,,,
5,,,3819,,,,,,,,3.4094324111938477,,,,
5,,,3839,,,,,,,,5.19511604309082,,,,
5,,,3859,,,,,,,,4.049764156341553,,,,
5,,,3879,,,,,,,,1.4247429370880127,,,,
5,,,3899,,,,,,,,0.9337069392204285,,,,
5,,,3919,,,,,,,,1.1167287826538086,,,,
5,,,3939,,,,,,,,1.0470831394195557,,,,
5,,,3959,,,,,,,,3.5278830528259277,,,,
5,,,3979,,,,,,,,1.4685910940170288,,,,
5,,,3999,,,,,,,,1.1564037799835205,,,,
5,,,4019,,,,,,,,4.947041988372803,,,,
5,,,4039,,,,,,,,1.6975466012954712,,,,
5,,,4059,,,,,,,,1.477115273475647,,,,
5,,,4079,,,,,,,,1.4343091249465942,,,,
5,,,4099,,,,,,,,3.5855026245117188,,,,
5,,,4119,,,,,,,,4.646976470947266,,,,
5,,,4139,,,,,,,,1.500780701637268,,,,
5,,,4159,,,,,,,,4.120253086090088,,,,
5,,,4179,,,,,,,,3.3544158935546875,,,,
5,,,4199,,,,,,,,1.0586916208267212,,,,
5,,,4219,,,,,,,,1.1705678701400757,,,,
5,,,4239,,,,,,,,1.8517146110534668,,,,
5,,,4259,,,,,,,,1.6424025297164917,,,,
5,,,4279,,,,,,,,1.9171459674835205,,,,
5,,,4299,,,,,,,,1.5388805866241455,,,,
5,,,4307,,,,,,,,,0.3070049285888672,0.20607857406139374,8.115052223205566,0.12870271503925323
5,,,4307,,,,,,0.3501654863357544,2.4215943813323975,,,,,
,0.0003,0.0003,4308,,,,,,,,,,,,
6,,,4319,,,,,,,,1.1680556535720825,,,,
6,,,4339,,,,,,,,2.722973346710205,,,,
6,,,4359,,,,,,,,2.2360165119171143,,,,
6,,,4379,,,,,,,,5.0228962898254395,,,,
6,,,4399,,,,,,,,2.9638757705688477,,,,
6,,,4419,,,,,,,,1.2106953859329224,,,,
6,,,4439,,,,,,,,4.319971561431885,,,,
6,,,4459,,,,,,,,1.283446192741394,,,,
6,,,4479,,,,,,,,2.099071741104126,,,,
6,,,4499,,,,,,,,2.3017120361328125,,,,
6,,,4519,,,,,,,,1.468060851097107,,,,
6,,,4539,,,,,,,,1.3623666763305664,,,,
6,,,4559,,,,,,,,2.9224987030029297,,,,
6,,,4579,,,,,,,,4.444883346557617,,,,
6,,,4599,,,,,,,,4.318522930145264,,,,
6,,,4619,,,,,,,,1.5875390768051147,,,,
6,,,4639,,,,,,,,3.496753215789795,,,,
6,,,4659,,,,,,,,2.2341718673706055,,,,
6,,,4679,,,,,,,,2.647052764892578,,,,
6,,,4699,,,,,,,,1.4297194480895996,,,,
6,,,4719,,,,,,,,2.352800130844116,,,,
6,,,4739,,,,,,,,3.148364543914795,,,,
6,,,4759,,,,,,,,3.5145559310913086,,,,
6,,,4779,,,,,,,,4.274234294891357,,,,
6,,,4799,,,,,,,,3.8869152069091797,,,,
6,,,4819,,,,,,,,2.721548557281494,,,,
6,,,4839,,,,,,,,2.335207939147949,,,,
6,,,4859,,,,,,,,3.8832104206085205,,,,
6,,,4879,,,,,,,,1.473204255104065,,,,
6,,,4899,,,,,,,,1.7733416557312012,,,,
6,,,4919,,,,,,,,2.2106528282165527,,,,
6,,,4939,,,,,,,,2.5941197872161865,,,,
6,,,4959,,,,,,,,3.5899314880371094,,,,
6,,,4979,,,,,,,,1.3255207538604736,,,,
6,,,4999,,,,,,,,1.2093174457550049,,,,
6,,,5019,,,,,,,,2.334561824798584,,,,
6,,,5025,,,,,,,,,0.35837894678115845,0.26017865538597107,9.516578674316406,0.18236340582370758
6,,,5025,,,,,,0.3468121290206909,2.4449856281280518,,,,,
,0.00035,0.00035,5026,,,,,,,,,,,,
7,,,5039,,,,,,,,2.232693672180176,,,,
7,,,5059,,,,,,,,2.4004220962524414,,,,
7,,,5079,,,,,,,,1.6787762641906738,,,,
7,,,5099,,,,,,,,1.8765995502471924,,,,
7,,,5119,,,,,,,,1.1788220405578613,,,,
7,,,5139,,,,,,,,1.1887178421020508,,,,
7,,,5159,,,,,,,,1.0401455163955688,,,,
7,,,5179,,,,,,,,3.002525568008423,,,,
7,,,5199,,,,,,,,1.4635353088378906,,,,
7,,,5219,,,,,,,,1.8457767963409424,,,,
7,,,5239,,,,,,,,3.234712600708008,,,,
7,,,5259,,,,,,,,1.3881738185882568,,,,
7,,,5279,,,,,,,,2.668229341506958,,,,
7,,,5299,,,,,,,,3.9933276176452637,,,,
7,,,5319,,,,,,,,2.0129566192626953,,,,
7,,,5339,,,,,,,,3.1632025241851807,,,,
7,,,5359,,,,,,,,1.296920895576477,,,,
7,,,5379,,,,,,,,0.9592307806015015,,,,
7,,,5399,,,,,,,,1.9963500499725342,,,,
7,,,5419,,,,,,,,3.169227123260498,,,,
7,,,5439,,,,,,,,3.4494898319244385,,,,
7,,,5459,,,,,,,,1.267148494720459,,,,
