epoch,lr-AdamW,p_cd1,p_cd2,p_cd3,step,train_cd_reg,train_f1_score,train_f_beta,train_loss_epoch,train_loss_step,train_mcc,train_task_loss,val_auroc,val_f1_score,val_f_beta,val_loss_epoch,val_loss_step,val_mcc,val_task_loss
1,,0.09916218370199203,0.14889049530029297,0.19908788800239563,539,0.0020232561510056257,0.35364407300949097,0.35364407300949097,0.7343714833259583,,0.191593736410141,0.7323485016822815,,,,,,,
,0.00011999999999999999,,,,540,,,,,,,,,,,,,,
2,,,,,549,,,,,0.876444399356842,,,,,,,,,
2,,,,,559,,,,,1.02919340133667,,,,,,,,,
2,,,,,569,,,,,0.741087794303894,,,,,,,,,
2,,,,,579,,,,,0.9538255333900452,,,,,,,,,
2,,,,,589,,,,,0.77767413854599,,,,,,,,,
2,,,,,599,,,,,0.5335056185722351,,,,,,,,,
2,,,,,609,,,,,0.6381362676620483,,,,,,,,,
2,,,,,619,,,,,0.8400031924247742,,,,,,,,,
2,,,,,629,,,,,0.8788960576057434,,,,,,,,,
2,,,,,639,,,,,0.46935731172561646,,,,,,,,,
2,,,,,649,,,,,0.5684974789619446,,,,,,,,,
2,,,,,659,,,,,0.6184148192405701,,,,,,,,,
2,,,,,669,,,,,0.5628122687339783,,,,,,,,,
2,,,,,679,,,,,0.7024242281913757,,,,,,,,,
2,,,,,689,,,,,0.5504446029663086,,,,,,,,,
2,,,,,699,,,,,0.5390276908874512,,,,,,,,,
2,,,,,709,,,,,0.4955570697784424,,,,,,,,,
2,,,,,719,,,,,0.8114845156669617,,,,,,,,,
2,,,,,729,,,,,0.8685126304626465,,,,,,,,,
2,,,,,739,,,,,0.416655570268631,,,,,,,,,
2,,,,,749,,,,,0.9578368067741394,,,,,,,,,
2,,,,,759,,,,,0.9121618866920471,,,,,,,,,
2,,,,,769,,,,,0.7794007062911987,,,,,,,,,
2,,,,,779,,,,,1.0638601779937744,,,,,,,,,
2,,,,,789,,,,,0.46741122007369995,,,,,,,,,
2,,,,,799,,,,,0.9425650238990784,,,,,,,,,
2,,,,,809,,,,,0.4708048105239868,,,,,,,,,
,,,,,120,,,,,,,,,,,,0.37157583236694336,,
,,,,,121,,,,,,,,,,,,0.8205119967460632,,
